,Nation,Communauté
0,Abénakis,Odanak
0,Abénakis,Wôlinak
0,Algonquins,Hunter's Point
0,Algonquins,Kebaowek
0,Algonquins,Kitcisakik
0,Algonquins,Kitigan Zibi
0,Algonquins,Lac-Simon
0,Algonquins,Pikogan
0,Algonquins,Lac-Rapide
0,Algonquins,Timiskaming
0,Algonquins,Winneway
0,Atikamekw,Coucoucache
0,Atikamekw,Manawan
0,Atikamekw,Obedjiwan
0,Atikamekw,Wemotaci
0,Cris,Chisasibi
0,Cris,Eastmain
0,Cris,Mistissini
0,Cris,Nemaska
0,Cris,Oujé-Bougoumou
0,Cris,Waskaganish
0,Cris,Waswanipi
0,Cris,Wemindji
0,Cris,Whapmagoostui
0,Innus,Pessamit
0,Innus,Essipit
0,Innus,Mashteuiatsh
0,Innus,Lac-John
0,Innus,Matimekosh
0,Innus,Mingan
0,Innus,Nutashkuan
0,Innus,Pakuashipi
0,Innus,La Romaine
0,Innus,Uashat
0,Innus,Maliotenam
0,Malécites,Cacouna
0,Malécites,Kataskomiq
0,Micmacs,Gaspé
0,Micmacs,Gesgapegiag
0,Micmacs,Listuguj
0,Naskapis,Kawawachikamach
0,Hurons-Wendat,Wendake
0,Mohawks,Doncaster
0,Mohawks,Kahnawake
0,Mohawks,Kanesatake
0,Inuits,Akulivik
0,Inuits,Aupaluk
0,Inuits,Chisasibi
0,Inuits,Inukjuak
0,Inuits,Ivujivik
0,Inuits,Kangiqsualujjuaq
0,Inuits,Kangiqsujuaq
0,Inuits,Kangirsuk
0,Inuits,Killiniq
0,Inuits,Kuujjuaq
0,Inuits,Kuujjuarapik
0,Inuits,Puvirnituq
0,Inuits,Quaqtaq
0,Inuits,Salluit
0,Inuits,Tasiujaq
0,Inuits,Umiujaq
